message,amount,sender_type,label
Refund failed. Click the link to re-initiate UPI payment,23568,unknown,scam
Payment of ₹1065 debited from account,1065,bank,safe
UPI reward pending. Click to receive,35978,unknown,scam
UPI reward pending. Click to receive,46249,unknown,scam
Money received from Priya,4064,merchant,safe
UPI payment of ₹3609 completed,3609,bank,safe
Unauthorized transaction detected. Confirm now,39802,unknown,scam
Payment reversal failed. Act immediately,13711,unknown,scam
Money received from Amit,4717,merchant,safe
Transaction successful. Ref ID generated,3228,bank,safe
Payment of ₹1589 debited from account,1589,bank,safe
Money received from Ankit,2221,bank,safe
KYC expired. Update details to avoid UPI suspension,19269,unknown,scam
Money received from Ankit,3195,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,18645,unknown,scam
Unauthorized transaction detected. Confirm now,31809,unknown,scam
UPI payment of ₹2927 completed,2927,bank,safe
KYC expired. Update details to avoid UPI suspension,9061,unknown,scam
Transaction successful. Ref ID generated,3074,merchant,safe
Money received from Ankit,1888,merchant,safe
Paid ₹2602 to merchant successfully,2602,merchant,safe
₹2260 received via UPI,2260,merchant,safe
Payment reversal failed. Act immediately,19311,unknown,scam
Transaction successful. Ref ID generated,3014,bank,safe
Your UPI account is temporarily blocked. Verify immediately,16070,unknown,scam
Payment of ₹651 debited from account,651,merchant,safe
UPI reward pending. Click to receive,4657,unknown,scam
Payment reversal failed. Act immediately,13396,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,34591,unknown,scam
Unauthorized transaction detected. Confirm now,21284,unknown,scam
KYC expired. Update details to avoid UPI suspension,16458,unknown,scam
Transaction successful. Ref ID generated,667,merchant,safe
Payment reversal failed. Act immediately,11155,unknown,scam
Money received from Amit,637,merchant,safe
Paid ₹585 to merchant successfully,585,merchant,safe
You have received cashback. Claim now,27934,unknown,scam
KYC expired. Update details to avoid UPI suspension,4602,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,43404,unknown,scam
KYC expired. Update details to avoid UPI suspension,38029,unknown,scam
Unauthorized transaction detected. Confirm now,49526,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,36191,unknown,scam
You have received cashback. Claim now,36520,unknown,scam
KYC expired. Update details to avoid UPI suspension,17952,unknown,scam
UPI reward pending. Click to receive,32831,unknown,scam
UPI payment of ₹944 completed,944,merchant,safe
Payment reversal failed. Act immediately,10833,unknown,scam
KYC expired. Update details to avoid UPI suspension,19314,unknown,scam
Money received from Sneha,1480,bank,safe
Transaction successful. Ref ID generated,4444,bank,safe
You have received cashback. Claim now,18779,unknown,scam
Paid ₹4490 to merchant successfully,4490,merchant,safe
₹4730 received via UPI,4730,merchant,safe
Payment of ₹690 debited from account,690,merchant,safe
You have received cashback. Claim now,6658,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,5859,unknown,scam
₹4055 received via UPI,4055,bank,safe
Money received from Ankit,153,merchant,safe
₹4962 received via UPI,4962,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,7293,unknown,scam
Payment reversal failed. Act immediately,2548,unknown,scam
Money received from Ankit,3766,merchant,safe
UPI payment of ₹3195 completed,3195,merchant,safe
You have received cashback. Claim now,4770,unknown,scam
Payment reversal failed. Act immediately,27311,unknown,scam
KYC expired. Update details to avoid UPI suspension,36041,unknown,scam
UPI reward pending. Click to receive,29764,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,12034,unknown,scam
₹1792 received via UPI,1792,merchant,safe
Transaction successful. Ref ID generated,3189,merchant,safe
You have received cashback. Claim now,41285,unknown,scam
Payment of ₹830 debited from account,830,bank,safe
Paid ₹1537 to merchant successfully,1537,merchant,safe
₹4823 received via UPI,4823,merchant,safe
KYC expired. Update details to avoid UPI suspension,9644,unknown,scam
Unauthorized transaction detected. Confirm now,35451,unknown,scam
₹982 received via UPI,982,merchant,safe
You have received cashback. Claim now,2939,unknown,scam
Unauthorized transaction detected. Confirm now,46436,unknown,scam
Transaction successful. Ref ID generated,2490,bank,safe
Your UPI account is temporarily blocked. Verify immediately,15550,unknown,scam
Unauthorized transaction detected. Confirm now,43751,unknown,scam
Money received from Sneha,4846,bank,safe
UPI payment of ₹904 completed,904,bank,safe
₹2443 received via UPI,2443,bank,safe
Payment reversal failed. Act immediately,13862,unknown,scam
Payment reversal failed. Act immediately,41020,unknown,scam
You have received cashback. Claim now,33105,unknown,scam
KYC expired. Update details to avoid UPI suspension,20865,unknown,scam
UPI payment of ₹802 completed,802,bank,safe
Refund failed. Click the link to re-initiate UPI payment,9415,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,5661,unknown,scam
Unauthorized transaction detected. Confirm now,26106,unknown,scam
Money received from Amit,4558,merchant,safe
Payment of ₹4133 debited from account,4133,bank,safe
₹1389 received via UPI,1389,merchant,safe
Unauthorized transaction detected. Confirm now,2218,unknown,scam
Transaction successful. Ref ID generated,3427,bank,safe
Unauthorized transaction detected. Confirm now,27245,unknown,scam
Paid ₹4118 to merchant successfully,4118,bank,safe
Your UPI account is temporarily blocked. Verify immediately,11679,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,45775,unknown,scam
₹374 received via UPI,374,merchant,safe
Transaction successful. Ref ID generated,1757,merchant,safe
UPI reward pending. Click to receive,24228,unknown,scam
UPI payment of ₹2751 completed,2751,bank,safe
You have received cashback. Claim now,48570,unknown,scam
Paid ₹2350 to merchant successfully,2350,bank,safe
You have received cashback. Claim now,13213,unknown,scam
Payment reversal failed. Act immediately,30866,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,17010,unknown,scam
Transaction successful. Ref ID generated,1431,merchant,safe
Money received from Sneha,1597,bank,safe
₹2929 received via UPI,2929,bank,safe
UPI payment of ₹1164 completed,1164,merchant,safe
UPI payment of ₹70 completed,70,merchant,safe
UPI payment of ₹381 completed,381,bank,safe
Money received from Amit,765,bank,safe
₹2618 received via UPI,2618,bank,safe
UPI reward pending. Click to receive,11668,unknown,scam
Paid ₹1154 to merchant successfully,1154,merchant,safe
KYC expired. Update details to avoid UPI suspension,36074,unknown,scam
UPI payment of ₹3829 completed,3829,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,10109,unknown,scam
Unauthorized transaction detected. Confirm now,22350,unknown,scam
Money received from Sneha,1330,merchant,safe
Paid ₹2834 to merchant successfully,2834,bank,safe
UPI payment of ₹3551 completed,3551,merchant,safe
Money received from Amit,2470,bank,safe
You have received cashback. Claim now,31307,unknown,scam
₹531 received via UPI,531,bank,safe
Unauthorized transaction detected. Confirm now,17125,unknown,scam
Unauthorized transaction detected. Confirm now,29033,unknown,scam
UPI payment of ₹2170 completed,2170,merchant,safe
Transaction successful. Ref ID generated,3024,merchant,safe
Payment of ₹1416 debited from account,1416,bank,safe
Transaction successful. Ref ID generated,2309,bank,safe
Payment of ₹3169 debited from account,3169,bank,safe
₹3485 received via UPI,3485,bank,safe
Money received from Ankit,4845,merchant,safe
Payment reversal failed. Act immediately,42594,unknown,scam
Paid ₹784 to merchant successfully,784,bank,safe
Transaction successful. Ref ID generated,1944,bank,safe
Payment reversal failed. Act immediately,39914,unknown,scam
KYC expired. Update details to avoid UPI suspension,42247,unknown,scam
Unauthorized transaction detected. Confirm now,21736,unknown,scam
Transaction successful. Ref ID generated,3733,merchant,safe
Paid ₹2631 to merchant successfully,2631,merchant,safe
UPI reward pending. Click to receive,2067,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,28564,unknown,scam
You have received cashback. Claim now,47509,unknown,scam
KYC expired. Update details to avoid UPI suspension,17745,unknown,scam
KYC expired. Update details to avoid UPI suspension,37005,unknown,scam
Transaction successful. Ref ID generated,1363,bank,safe
UPI payment of ₹1367 completed,1367,merchant,safe
Payment of ₹2740 debited from account,2740,merchant,safe
Transaction successful. Ref ID generated,3424,merchant,safe
Money received from Rohit,1329,bank,safe
Paid ₹4754 to merchant successfully,4754,bank,safe
Transaction successful. Ref ID generated,3706,merchant,safe
Money received from Amit,3727,merchant,safe
You have received cashback. Claim now,24403,unknown,scam
UPI payment of ₹663 completed,663,bank,safe
Payment reversal failed. Act immediately,11749,unknown,scam
Unauthorized transaction detected. Confirm now,32596,unknown,scam
UPI payment of ₹2424 completed,2424,bank,safe
Money received from Rohit,2950,merchant,safe
UPI reward pending. Click to receive,3064,unknown,scam
Paid ₹710 to merchant successfully,710,bank,safe
Money received from Sneha,4073,bank,safe
Transaction successful. Ref ID generated,3207,merchant,safe
Paid ₹4939 to merchant successfully,4939,bank,safe
Payment reversal failed. Act immediately,4045,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,5646,unknown,scam
Payment reversal failed. Act immediately,26770,unknown,scam
Payment of ₹830 debited from account,830,merchant,safe
KYC expired. Update details to avoid UPI suspension,44708,unknown,scam
UPI payment of ₹3116 completed,3116,merchant,safe
Transaction successful. Ref ID generated,1100,bank,safe
Money received from Amit,1177,bank,safe
Refund failed. Click the link to re-initiate UPI payment,37047,unknown,scam
You have received cashback. Claim now,37642,unknown,scam
KYC expired. Update details to avoid UPI suspension,11372,unknown,scam
Transaction successful. Ref ID generated,870,merchant,safe
Paid ₹1599 to merchant successfully,1599,bank,safe
Paid ₹4771 to merchant successfully,4771,merchant,safe
₹1777 received via UPI,1777,bank,safe
UPI payment of ₹2192 completed,2192,bank,safe
Money received from Rahul,2807,bank,safe
Transaction successful. Ref ID generated,2639,bank,safe
UPI payment of ₹3148 completed,3148,bank,safe
KYC expired. Update details to avoid UPI suspension,46781,unknown,scam
₹1230 received via UPI,1230,bank,safe
UPI payment of ₹617 completed,617,merchant,safe
Payment reversal failed. Act immediately,31982,unknown,scam
You have received cashback. Claim now,35918,unknown,scam
UPI reward pending. Click to receive,28333,unknown,scam
Payment reversal failed. Act immediately,36058,unknown,scam
You have received cashback. Claim now,33169,unknown,scam
You have received cashback. Claim now,23217,unknown,scam
Paid ₹864 to merchant successfully,864,bank,safe
Your UPI account is temporarily blocked. Verify immediately,15056,unknown,scam
UPI reward pending. Click to receive,19293,unknown,scam
Unauthorized transaction detected. Confirm now,27281,unknown,scam
Unauthorized transaction detected. Confirm now,33201,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,15126,unknown,scam
Payment of ₹3137 debited from account,3137,merchant,safe
UPI payment of ₹1667 completed,1667,bank,safe
UPI payment of ₹3618 completed,3618,merchant,safe
UPI payment of ₹2536 completed,2536,merchant,safe
KYC expired. Update details to avoid UPI suspension,5630,unknown,scam
KYC expired. Update details to avoid UPI suspension,39836,unknown,scam
Money received from Ankit,775,bank,safe
UPI payment of ₹4648 completed,4648,bank,safe
Paid ₹254 to merchant successfully,254,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,9655,unknown,scam
UPI payment of ₹4977 completed,4977,merchant,safe
KYC expired. Update details to avoid UPI suspension,49700,unknown,scam
Money received from Rohit,1534,bank,safe
Your UPI account is temporarily blocked. Verify immediately,45585,unknown,scam
Unauthorized transaction detected. Confirm now,41805,unknown,scam
Paid ₹2544 to merchant successfully,2544,bank,safe
Paid ₹4688 to merchant successfully,4688,bank,safe
Refund failed. Click the link to re-initiate UPI payment,15374,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,38733,unknown,scam
Transaction successful. Ref ID generated,2650,bank,safe
You have received cashback. Claim now,19233,unknown,scam
KYC expired. Update details to avoid UPI suspension,38186,unknown,scam
KYC expired. Update details to avoid UPI suspension,38926,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,29742,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,19351,unknown,scam
UPI payment of ₹217 completed,217,bank,safe
Paid ₹1014 to merchant successfully,1014,merchant,safe
Transaction successful. Ref ID generated,1186,bank,safe
Paid ₹2572 to merchant successfully,2572,bank,safe
Your UPI account is temporarily blocked. Verify immediately,24524,unknown,scam
You have received cashback. Claim now,28953,unknown,scam
Unauthorized transaction detected. Confirm now,20382,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,44470,unknown,scam
Money received from Rahul,2804,merchant,safe
Payment reversal failed. Act immediately,40033,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,33143,unknown,scam
UPI reward pending. Click to receive,45088,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,13534,unknown,scam
Paid ₹4889 to merchant successfully,4889,bank,safe
UPI payment of ₹2869 completed,2869,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,42796,unknown,scam
Payment of ₹4182 debited from account,4182,merchant,safe
Money received from Rohit,4530,bank,safe
Your UPI account is temporarily blocked. Verify immediately,16082,unknown,scam
UPI payment of ₹523 completed,523,merchant,safe
KYC expired. Update details to avoid UPI suspension,17930,unknown,scam
UPI payment of ₹3750 completed,3750,bank,safe
Payment of ₹677 debited from account,677,merchant,safe
₹2826 received via UPI,2826,bank,safe
Paid ₹2875 to merchant successfully,2875,merchant,safe
Money received from Amit,3551,merchant,safe
Unauthorized transaction detected. Confirm now,18665,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,30690,unknown,scam
₹3899 received via UPI,3899,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,40040,unknown,scam
You have received cashback. Claim now,7042,unknown,scam
Payment reversal failed. Act immediately,14567,unknown,scam
₹934 received via UPI,934,merchant,safe
Payment of ₹2948 debited from account,2948,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,46779,unknown,scam
Money received from Priya,3587,merchant,safe
Money received from Rahul,2802,bank,safe
Transaction successful. Ref ID generated,3049,merchant,safe
Money received from Rahul,4427,merchant,safe
Payment reversal failed. Act immediately,12995,unknown,scam
Transaction successful. Ref ID generated,3870,bank,safe
Money received from Amit,485,merchant,safe
Paid ₹3331 to merchant successfully,3331,bank,safe
Payment of ₹475 debited from account,475,bank,safe
Your UPI account is temporarily blocked. Verify immediately,19557,unknown,scam
Transaction successful. Ref ID generated,1871,merchant,safe
Unauthorized transaction detected. Confirm now,27910,unknown,scam
Money received from Sneha,4857,bank,safe
₹2085 received via UPI,2085,bank,safe
Payment reversal failed. Act immediately,15038,unknown,scam
Money received from Ankit,4301,merchant,safe
You have received cashback. Claim now,43565,unknown,scam
₹4327 received via UPI,4327,bank,safe
Payment of ₹3168 debited from account,3168,bank,safe
Your UPI account is temporarily blocked. Verify immediately,11516,unknown,scam
Unauthorized transaction detected. Confirm now,33056,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,24242,unknown,scam
Payment of ₹1970 debited from account,1970,merchant,safe
You have received cashback. Claim now,31367,unknown,scam
Paid ₹3424 to merchant successfully,3424,bank,safe
₹1606 received via UPI,1606,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,27947,unknown,scam
₹59 received via UPI,59,merchant,safe
Payment of ₹1204 debited from account,1204,bank,safe
Payment reversal failed. Act immediately,16327,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,17094,unknown,scam
Payment of ₹1540 debited from account,1540,bank,safe
Payment of ₹2173 debited from account,2173,bank,safe
Transaction successful. Ref ID generated,3081,bank,safe
Paid ₹562 to merchant successfully,562,merchant,safe
UPI payment of ₹1583 completed,1583,merchant,safe
Payment of ₹2061 debited from account,2061,merchant,safe
Unauthorized transaction detected. Confirm now,27357,unknown,scam
UPI payment of ₹1990 completed,1990,bank,safe
You have received cashback. Claim now,20200,unknown,scam
You have received cashback. Claim now,12437,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,24154,unknown,scam
UPI reward pending. Click to receive,32200,unknown,scam
KYC expired. Update details to avoid UPI suspension,45152,unknown,scam
Unauthorized transaction detected. Confirm now,24836,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,4001,unknown,scam
Unauthorized transaction detected. Confirm now,18713,unknown,scam
UPI reward pending. Click to receive,29699,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,40455,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,9324,unknown,scam
UPI payment of ₹2851 completed,2851,merchant,safe
UPI reward pending. Click to receive,10942,unknown,scam
Unauthorized transaction detected. Confirm now,38986,unknown,scam
KYC expired. Update details to avoid UPI suspension,25625,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,23064,unknown,scam
Paid ₹375 to merchant successfully,375,merchant,safe
Paid ₹4003 to merchant successfully,4003,bank,safe
Refund failed. Click the link to re-initiate UPI payment,44096,unknown,scam
UPI payment of ₹4311 completed,4311,bank,safe
Refund failed. Click the link to re-initiate UPI payment,3380,unknown,scam
You have received cashback. Claim now,32337,unknown,scam
Transaction successful. Ref ID generated,2703,merchant,safe
Money received from Ankit,2985,merchant,safe
KYC expired. Update details to avoid UPI suspension,22271,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,15804,unknown,scam
UPI payment of ₹2955 completed,2955,bank,safe
Paid ₹2767 to merchant successfully,2767,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,3186,unknown,scam
Unauthorized transaction detected. Confirm now,47697,unknown,scam
Payment of ₹2815 debited from account,2815,bank,safe
₹2356 received via UPI,2356,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,13334,unknown,scam
Payment of ₹1521 debited from account,1521,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,9574,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,4999,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,10676,unknown,scam
Paid ₹132 to merchant successfully,132,bank,safe
Money received from Rohit,1561,bank,safe
KYC expired. Update details to avoid UPI suspension,38163,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,8041,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,21472,unknown,scam
UPI payment of ₹1214 completed,1214,merchant,safe
₹4754 received via UPI,4754,merchant,safe
Transaction successful. Ref ID generated,1153,bank,safe
You have received cashback. Claim now,5090,unknown,scam
You have received cashback. Claim now,15789,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,31372,unknown,scam
You have received cashback. Claim now,32771,unknown,scam
KYC expired. Update details to avoid UPI suspension,20934,unknown,scam
You have received cashback. Claim now,26384,unknown,scam
Payment reversal failed. Act immediately,35955,unknown,scam
Payment of ₹4138 debited from account,4138,bank,safe
Payment of ₹4772 debited from account,4772,merchant,safe
UPI payment of ₹3843 completed,3843,merchant,safe
Transaction successful. Ref ID generated,4545,bank,safe
Paid ₹3797 to merchant successfully,3797,bank,safe
Payment of ₹4489 debited from account,4489,bank,safe
KYC expired. Update details to avoid UPI suspension,41487,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,31215,unknown,scam
UPI payment of ₹1887 completed,1887,bank,safe
₹454 received via UPI,454,merchant,safe
Transaction successful. Ref ID generated,4294,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,12397,unknown,scam
₹3070 received via UPI,3070,bank,safe
Unauthorized transaction detected. Confirm now,43007,unknown,scam
Money received from Priya,2950,bank,safe
You have received cashback. Claim now,9812,unknown,scam
Unauthorized transaction detected. Confirm now,25517,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,15870,unknown,scam
Money received from Rahul,4820,merchant,safe
Money received from Priya,2450,merchant,safe
Paid ₹2792 to merchant successfully,2792,bank,safe
Transaction successful. Ref ID generated,2859,bank,safe
Money received from Sneha,997,bank,safe
₹3678 received via UPI,3678,merchant,safe
Payment reversal failed. Act immediately,39391,unknown,scam
